2026-04-24T17:20:14.431895,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:24.823328,PLATEAU_CONFIRMED,Wideband signal detected,freq=3444849816.8498173,bw=9.66796875,hits=6
2026-04-24T17:20:24.850934,VIDEO_REJECTED,cyclo rejected video,freq=3444849816.8498173,score=0
2026-04-24T17:20:24.858202,PLATEAU_CONFIRMED,Wideband signal detected,freq=3464197802.197802,bw=4.4921875,hits=3
2026-04-24T17:20:24.883887,VIDEO_REJECTED,cyclo rejected video,freq=3464197802.197802,score=0
2026-04-24T17:20:24.925184,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3500000000
2026-04-24T17:20:24.958092,PLATEAU_CONFIRMED,Wideband signal detected,freq=3520993894.9938946,bw=4.04296875,hits=4
2026-04-24T17:20:24.999788,PLATEAU_CONFIRMED,Wideband signal detected,freq=3534864468.864469,bw=4.4482421875,hits=5
2026-04-24T17:20:25.000236,VIDEO_REJECTED,cyclo rejected video,freq=3520993894.9938946,score=0
2026-04-24T17:20:25.034770,VIDEO_REJECTED,cyclo rejected video,freq=3534864468.864469,score=0
2026-04-24T17:20:25.046994,PLATEAU_CONFIRMED,Wideband signal detected,freq=3554278388.2783885,bw=4.5849609375,hits=7
2026-04-24T17:20:25.073209,VIDEO_REJECTED,cyclo rejected video,freq=3554278388.2783885,score=0
2026-04-24T17:20:25.082650,PLATEAU_CONFIRMED,Wideband signal detected,freq=3573257631.2576313,bw=5.09765625,hits=3
2026-04-24T17:20:25.107162,VIDEO_REJECTED,cyclo rejected video,freq=3573257631.2576313,score=0
2026-04-24T17:20:25.126378,PLATEAU_CONFIRMED,Wideband signal detected,freq=3607621489.6214895,bw=3.26171875,hits=5
2026-04-24T17:20:25.154959,VIDEO_REJECTED,cyclo rejected video,freq=3607621489.6214895,score=0
2026-04-24T17:20:25.172327,PLATEAU_CONFIRMED,Wideband signal detected,freq=3625787545.7875457,bw=7.3974609375,hits=6
2026-04-24T17:20:25.208301,VIDEO_REJECTED,cyclo rejected video,freq=3625787545.7875457,score=0
2026-04-24T17:20:25.216836,PLATEAU_CONFIRMED,Wideband signal detected,freq=3643665445.665446,bw=9.51171875,hits=5
